airport,year,metric,on_time_pct,rank,source_label
BOS,2016,arrival_otp,78.02,23,"Boston, MA (BOS)"
BOS,2017,arrival_otp,74.63,25,"Boston, MA (BOS)"
BOS,2018,arrival_otp,74.04,27,"Boston, MA (BOS)"
BOS,2019,arrival_otp,74.25,27,"Boston, MA (BOS)"
BOS,2020,arrival_otp,84.66,17,"Boston, MA (BOS)"
BOS,2021,arrival_otp,82.41,12,"Boston, MA (BOS)"
BOS,2022,arrival_otp,73.82,20,"Boston, MA (BOS)"
BOS,2023,arrival_otp,74.59,25,"Boston, MA (BOS)"
BOS,2024,arrival_otp,76.06,22,"Boston, MA (BOS)"
DCA,2016,arrival_otp,78.96,21,"Washington, DC (DCA)"
DCA,2017,arrival_otp,79.88,18,"Washington, DC (DCA)"
DCA,2018,arrival_otp,77.84,21,"Washington, DC (DCA)"
DCA,2019,arrival_otp,78.51,19,"Washington, DC (DCA)"
DCA,2020,arrival_otp,83.09,27,"Washington, DC (DCA)"
DCA,2021,arrival_otp,83.4,9,"Washington, DC (DCA)"
DCA,2022,arrival_otp,73.82,19,"Washington, DC (DCA)"
DCA,2023,arrival_otp,80.01,8,"Washington, DC (DCA)"
DCA,2024,arrival_otp,77.74,16,"Washington, DC (DCA)"
DTW,2016,arrival_otp,85.43,3,"Detroit, MI (DTW)"
DTW,2017,arrival_otp,84.4,4,"Detroit, MI (DTW)"
DTW,2018,arrival_otp,84.2,4,"Detroit, MI (DTW)"
DTW,2019,arrival_otp,83.68,4,"Detroit, MI (DTW)"
DTW,2020,arrival_otp,87.96,2,"Detroit, MI (DTW)"
DTW,2021,arrival_otp,86.4,5,"Detroit, MI (DTW)"
DTW,2022,arrival_otp,81.79,4,"Detroit, MI (DTW)"
DTW,2023,arrival_otp,82.45,4,"Detroit, MI (DTW)"
DTW,2024,arrival_otp,80.99,5,"Detroit, MI (DTW)"
JFK,2016,arrival_otp,76.78,25,"New York, NY (JFK)"
JFK,2017,arrival_otp,72.8,27,"New York, NY (JFK)"
JFK,2018,arrival_otp,75.76,26,"New York, NY (JFK)"
JFK,2019,arrival_otp,78.26,20,"New York, NY (JFK)"
JFK,2020,arrival_otp,84.37,20,"New York, NY (JFK)"
JFK,2021,arrival_otp,79.92,21,"New York, NY (JFK)"
JFK,2022,arrival_otp,71.79,25,"New York, NY (JFK)"
JFK,2023,arrival_otp,74.25,27,"New York, NY (JFK)"
JFK,2024,arrival_otp,77.03,18,"New York, NY (JFK)"
ORD,2016,arrival_otp,79.61,20,"Chicago, IL (ORD)"
ORD,2017,arrival_otp,80.82,14,"Chicago, IL (ORD)"
ORD,2018,arrival_otp,77.22,24,"Chicago, IL (ORD)"
ORD,2019,arrival_otp,74.53,26,"Chicago, IL (ORD)"
ORD,2020,arrival_otp,84.34,22,"Chicago, IL (ORD)"
ORD,2021,arrival_otp,81.37,18,"Chicago, IL (ORD)"
ORD,2022,arrival_otp,79.41,11,"Chicago, IL (ORD)"
ORD,2023,arrival_otp,79.17,10,"Chicago, IL (ORD)"
ORD,2024,arrival_otp,77.86,15,"Chicago, IL (ORD)"
BOS,2016,departure_otp,81.19,15,"Boston, MA (BOS)"
BOS,2017,departure_otp,77.4,22,"Boston, MA (BOS)"
BOS,2018,departure_otp,76.41,27,"Boston, MA (BOS)"
BOS,2019,departure_otp,77.0,21,"Boston, MA (BOS)"
BOS,2020,departure_otp,85.5,14,"Boston, MA (BOS)"
BOS,2021,departure_otp,85.13,10,"Boston, MA (BOS)"
BOS,2022,departure_otp,75.68,15,"Boston, MA (BOS)"
BOS,2023,departure_otp,76.27,20,"Boston, MA (BOS)"
BOS,2024,departure_otp,78.76,12,"Boston, MA (BOS)"
DCA,2016,departure_otp,82.64,12,"Washington, DC (DCA)"
DCA,2017,departure_otp,82.3,10,"Washington, DC (DCA)"
DCA,2018,departure_otp,79.5,15,"Washington, DC (DCA)"
DCA,2019,departure_otp,79.65,16,"Washington, DC (DCA)"
DCA,2020,departure_otp,83.75,25,"Washington, DC (DCA)"
DCA,2021,departure_otp,84.33,12,"Washington, DC (DCA)"
DCA,2022,departure_otp,74.99,18,"Washington, DC (DCA)"
DCA,2023,departure_otp,81.51,5,"Washington, DC (DCA)"
DCA,2024,departure_otp,79.17,10,"Washington, DC (DCA)"
DTW,2016,departure_otp,84.46,5,"Detroit, MI (DTW)"
DTW,2017,departure_otp,83.37,5,"Detroit, MI (DTW)"
DTW,2018,departure_otp,84.22,5,"Detroit, MI (DTW)"
DTW,2019,departure_otp,82.76,4,"Detroit, MI (DTW)"
DTW,2020,departure_otp,87.97,5,"Detroit, MI (DTW)"
DTW,2021,departure_otp,86.98,3,"Detroit, MI (DTW)"
DTW,2022,departure_otp,81.35,3,"Detroit, MI (DTW)"
DTW,2023,departure_otp,81.86,4,"Detroit, MI (DTW)"
DTW,2024,departure_otp,80.84,5,"Detroit, MI (DTW)"
JFK,2016,departure_otp,77.7,22,"New York, NY (JFK)"
JFK,2017,departure_otp,75.64,26,"New York, NY (JFK)"
JFK,2018,departure_otp,78.77,18,"New York, NY (JFK)"
JFK,2019,departure_otp,79.79,14,"New York, NY (JFK)"
JFK,2020,departure_otp,85.44,15,"New York, NY (JFK)"
JFK,2021,departure_otp,80.67,19,"New York, NY (JFK)"
JFK,2022,departure_otp,71.63,22,"New York, NY (JFK)"
JFK,2023,departure_otp,75.19,22,"New York, NY (JFK)"
JFK,2024,departure_otp,78.32,14,"New York, NY (JFK)"
ORD,2016,departure_otp,76.86,27,"Chicago, IL (ORD)"
ORD,2017,departure_otp,79.69,17,"Chicago, IL (ORD)"
ORD,2018,departure_otp,77.54,23,"Chicago, IL (ORD)"
ORD,2019,departure_otp,74.94,27,"Chicago, IL (ORD)"
ORD,2020,departure_otp,84.48,21,"Chicago, IL (ORD)"
ORD,2021,departure_otp,80.69,18,"Chicago, IL (ORD)"
