airport,date,year,month,dep_flights,dep_cancelled,dep_diverted,dep_delayed15,dep_cancel_rate,dep_delay15_rate,avg_dep_delay,arr_flights,arr_cancelled,arr_diverted,arr_delayed15,arr_cancel_rate,arr_delay15_rate,avg_arr_delay,avg_taxi_out,avg_taxi_in,carrier_delay_min,weather_delay_min,nas_delay_min,security_delay_min,late_aircraft_delay_min
BOS,2016-01-01,2016,1,239,1,0,22,0.0042,0.0924,4.79,251,0,0,22,0.0,0.0876,-4.19,16.14,6.08,610.0,0,482.0,0,263.0
BOS,2016-01-02,2016,1,261,0,0,52,0.0,0.1992,9.18,251,0,0,57,0.0,0.2271,8.78,17.45,6.22,790.0,0,85.0,3.0,616.0
BOS,2016-01-03,2016,1,280,0,0,63,0.0,0.225,9.79,284,0,1,65,0.0,0.2289,4.56,16.77,6.42,794.0,0,945.0,11.0,730.0
BOS,2016-01-04,2016,1,304,2,0,66,0.0066,0.2185,9.75,311,1,0,89,0.0032,0.2871,11.25,17.92,7.51,1009.0,7.0,586.0,0,586.0
BOS,2016-01-05,2016,1,319,1,0,75,0.0031,0.2358,11.05,316,0,0,50,0.0,0.1582,3.32,17.87,6.7,1249.0,106.0,181.0,0,591.0
BOS,2016-01-06,2016,1,317,2,1,36,0.0063,0.1143,4.25,320,3,0,34,0.0094,0.1073,-2.57,17.15,6.1,559.0,0,617.0,15.0,338.0
BOS,2016-01-07,2016,1,326,0,0,24,0.0,0.0736,1.96,325,0,0,31,0.0,0.0954,-6.61,16.81,7.34,933.0,0,19.0,0,174.0
BOS,2016-01-08,2016,1,326,0,0,36,0.0,0.1104,1.0,327,0,0,49,0.0,0.1498,-1.43,17.54,7.72,228.0,0,295.0,0,270.0
BOS,2016-01-09,2016,1,213,1,0,18,0.0047,0.0849,1.92,205,1,0,23,0.0049,0.1127,-5.45,13.9,7.27,228.0,112.0,149.0,24.0,85.0
BOS,2016-01-10,2016,1,267,3,2,63,0.0112,0.2386,16.69,275,3,0,89,0.0109,0.3272,16.35,16.32,6.54,1125.0,6.0,1616.0,0,1747.0
BOS,2016-01-11,2016,1,326,0,0,24,0.0,0.0736,0.73,327,0,0,35,0.0,0.107,-4.38,19.32,6.02,728.0,0,476.0,0,294.0
BOS,2016-01-12,2016,1,318,2,0,27,0.0063,0.0854,3.41,316,2,0,37,0.0063,0.1178,-3.65,18.81,6.03,1184.0,0,445.0,0,757.0
BOS,2016-01-13,2016,1,316,0,0,39,0.0,0.1234,6.65,319,2,0,37,0.0063,0.1167,0.9,19.25,5.91,1954.0,35.0,283.0,0,770.0
BOS,2016-01-14,2016,1,328,5,4,65,0.0152,0.2012,10.95,328,5,0,67,0.0152,0.2074,3.95,20.31,6.34,2075.0,18.0,439.0,29.0,1469.0
BOS,2016-01-15,2016,1,327,0,1,54,0.0,0.1651,6.65,328,1,0,65,0.003,0.1988,5.32,16.09,7.6,1215.0,0,485.0,3.0,968.0
BOS,2016-01-16,2016,1,208,1,2,28,0.0048,0.1353,5.16,201,1,2,28,0.005,0.14,-0.9,16.81,5.96,692.0,0,380.0,16.0,452.0
BOS,2016-01-17,2016,1,242,1,0,39,0.0041,0.1618,5.9,246,0,0,63,0.0,0.2561,6.66,20.01,7.82,525.0,207.0,1796.0,0,625.0
BOS,2016-01-18,2016,1,316,1,2,153,0.0032,0.4857,31.57,316,2,0,149,0.0063,0.4745,28.94,37.34,7.17,1892.0,1600.0,5403.0,0,4823.0
BOS,2016-01-19,2016,1,318,3,0,59,0.0094,0.1873,8.71,316,3,1,58,0.0095,0.1853,3.51,19.54,6.08,1012.0,0,794.0,0,1000.0
