airport,year,month,dep_flights,dep_cancelled,dep_diverted,dep_delayed15,arr_flights,arr_cancelled,arr_diverted,arr_delayed15,carrier_delay_min,weather_delay_min,nas_delay_min,security_delay_min,late_aircraft_delay_min,avg_dep_delay,avg_arr_delay,avg_taxi_out,avg_taxi_in,dep_cancel_rate,dep_delay15_rate
BOS,2016,1,9088,276,21,1373,9100,274,9,1601,28882.0,6564.0,23213.0,210.0,22865.0,8.03,3.58,18.96,6.84,0.0304,0.1558
BOS,2017,1,9456,176,71,1627,9455,169,9,1865,32362.0,4730.0,36548.0,303.0,34551.0,10.06,5.48,18.83,6.9,0.0186,0.1753
BOS,2018,1,11151,786,24,2476,11148,792,9,2566,58055.0,13734.0,41637.0,233.0,63687.0,16.41,26.73,20.96,7.97,0.0705,0.2389
BOS,2019,1,11430,702,24,2426,11429,674,22,2688,66160.0,18125.0,53401.0,184.0,87909.0,22.43,20.01,21.97,8.81,0.0614,0.2261
BOS,2019,7,12931,328,51,2830,12933,309,38,3336,66879.0,15185.0,56456.0,42.0,88765.0,17.05,14.59,20.03,9.71,0.0254,0.2245
BOS,2020,1,12182,52,27,1405,12190,47,6,1435,35721.0,3028.0,28244.0,50.0,20493.0,3.78,-4.53,19.0,7.77,0.0043,0.1158
BOS,2020,4,4231,1774,1,118,4240,1797,1,76,4704.0,47.0,1445.0,0.0,384.0,-4.75,-24.52,13.54,5.8,0.4193,0.048
BOS,2021,1,4095,46,5,333,4091,46,2,520,10508.0,636.0,9809.0,121.0,4515.0,0.38,-5.11,16.68,6.14,0.0112,0.0822
BOS,2022,1,9917,1061,20,1720,9915,1070,8,1899,63517.0,8777.0,24731.0,94.0,37375.0,13.74,9.17,19.28,7.38,0.107,0.1942
BOS,2022,6,11688,465,27,2931,11690,475,24,3214,87137.0,7638.0,62305.0,114.0,66477.0,18.33,15.47,20.29,10.58,0.0398,0.2612
BOS,2022,12,10960,352,34,2856,10965,349,14,2893,99437.0,6555.0,38824.0,269.0,64829.0,20.46,16.74,20.05,9.18,0.0321,0.2692
BOS,2023,1,10871,157,29,2253,10870,163,16,2556,64985.0,5871.0,54226.0,384.0,49073.0,12.85,8.83,22.46,9.04,0.0144,0.2103
BOS,2023,6,11781,313,53,3107,11788,321,22,3564,82596.0,13182.0,56462.0,311.0,80237.0,20.14,20.08,20.31,9.71,0.0266,0.2709
BOS,2023,7,12133,630,53,3785,12135,620,100,4162,124848.0,18126.0,98336.0,620.0,137608.0,30.3,31.22,22.73,9.76,0.0519,0.329
BOS,2023,12,10660,83,18,1994,10661,83,61,2073,47238.0,4819.0,21309.0,153.0,49839.0,11.39,5.51,18.92,8.37,0.0078,0.1885
BOS,2024,1,10134,325,34,2233,10126,335,37,2541,68099.0,20028.0,46906.0,351.0,61057.0,16.66,12.98,22.36,9.11,0.0321,0.2276
BOS,2024,6,12568,196,38,2918,12570,196,58,3273,78607.0,7698.0,59811.0,251.0,86231.0,15.85,13.49,21.38,9.14,0.0156,0.2359
BOS,2024,12,11778,166,21,2744,11769,170,33,2780,63991.0,11053.0,48434.0,415.0,79378.0,15.67,11.3,22.46,9.74,0.0141,0.2363
DCA,2016,1,6447,609,7,886,6455,600,10,1028,16194.0,1130.0,11756.0,42.0,21235.0,5.95,1.68,18.19,5.92,0.0945,0.1518
DCA,2017,1,6086,87,18,978,6094,79,19,1182,17353.0,2643.0,18481.0,24.0,31363.0,8.45,4.09,18.86,5.8,0.0143,0.163
DCA,2018,1,10742,438,16,2055,10752,447,58,2125,34400.0,4390.0,22358.0,25.0,78883.0,11.58,6.02,18.32,6.34,0.0408,0.1994
DCA,2019,1,11839,633,28,2086,11851,651,35,2257,41928.0,15838.0,51847.0,224.0,67517.0,12.19,6.06,20.38,7.19,0.0535,0.1862
DCA,2019,7,11683,482,37,2455,11683,467,64,2629,52482.0,19115.0,57205.0,277.0,102514.0,18.04,12.55,20.14,6.83,0.0413,0.2192
DCA,2020,1,11575,96,25,1552,11575,117,12,1565,31892.0,1426.0,22071.0,157.0,60262.0,5.74,-1.5,19.11,6.14,0.0083,0.1352
DCA,2020,4,5261,2375,1,106,5273,2385,4,97,3194.0,0.0,780.0,0.0,1354.0,-6.48,-20.35,11.8,4.3,0.4514,0.0367
DCA,2021,1,2720,31,3,179,2724,46,2,243,5567.0,225.0,5791.0,80.0,3434.0,-0.67,-10.81,14.3,3.95,0.0114,0.0666
DCA,2022,1,11920,1392,13,2280,11932,1396,46,2328,58278.0,11849.0,25496.0,177.0,75707.0,18.09,10.69,21.86,9.02,0.1168,0.2166
DCA,2022,6,11791,711,48,2867,11793,721,29,2821,76400.0,13192.0,46878.0,340.0,86176.0,18.06,13.97,20.8,7.81,0.0603,0.2588
DCA,2022,12,11558,418,24,2277,11551,415,22,2565,47902.0,4171.0,28866.0,185.0,71685.0,12.27,10.25,20.68,7.56,0.0362,0.2044
DCA,2023,1,11772,200,20,1812,11774,188,19,2118,40693.0,3287.0,30894.0,106.0,56459.0,7.37,2.9,20.44,7.19,0.017,0.1566
DCA,2023,6,11455,327,60,2455,11450,322,105,2497,69133.0,5897.0,44889.0,352.0,95149.0,16.92,12.22,21.76,7.01,0.0285,0.2206
DCA,2023,7,11566,502,53,3103,11570,489,98,3113,78824.0,25234.0,61500.0,214.0,129409.0,24.32,18.89,21.94,8.68,0.0434,0.2805
DCA,2023,12,11014,54,27,1828,11013,61,37,1862,38012.0,4977.0,15008.0,119.0,59379.0,8.69,2.44,19.58,6.62,0.0049,0.1668
DCA,2024,1,11486,654,21,2437,11487,644,69,2619,49202.0,32491.0,45948.0,245.0,93194.0,17.53,14.48,22.43,8.34,0.0569,0.225
DCA,2024,6,11457,174,51,2428,11461,164,53,2513,51216.0,11300.0,34479.0,238.0,94253.0,14.73,11.48,20.53,8.34,0.0152,0.2152
DCA,2024,12,11346,95,29,2739,11340,105,51,2795,48874.0,5829.0,30295.0,74.0,103789.0,15.58,11.59,20.65,6.96,0.0084,0.2434
DTW,2016,1,9489,175,20,1547,9463,186,26,1387,40419.0,9255.0,27230.0,198.0,35663.0,10.09,2.11,21.44,8.21,0.0184,0.1661
DTW,2017,1,9683,171,28,1848,9708,190,16,1764,61376.0,6406.0,39546.0,0.0,38219.0,13.47,6.65,22.61,8.37,0.0177,0.1943
DTW,2018,1,12402,205,42,2404,12393,226,15,2352,75986.0,18140.0,42822.0,129.0,59251.0,13.72,5.66,23.22,9.16,0.0165,0.1971
DTW,2019,1,12172,388,33,2213,12160,388,54,1914,57270.0,49294.0,51364.0,25.0,45700.0,15.44,5.0,24.88,9.17,0.0319,0.1878
DTW,2019,7,14545,232,39,2948,14542,214,82,2775,95214.0,27683.0,55881.0,163.0,82183.0,17.33,10.09,16.82,9.03,0.016,0.206
DTW,2020,1,13195,77,31,1531,13190,84,3,1391,49510.0,13821.0,24752.0,5.0,13287.0,6.94,-3.85,19.32,9.03,0.0058,0.1167
DTW,2020,4,6530,1674,3,303,6580,1710,7,320,10234.0,2415.0,4962.0,75.0,2884.0,-1.26,-7.01,14.61,7.64,0.2564,0.0624
DTW,2021,1,8967,36,11,687,8972,31,7,818,32549.0,8792.0,14656.0,231.0,5115.0,2.6,-4.74,19.67,9.39,0.004,0.0769
DTW,2022,1,10686,479,15,2081,10671,486,4,2053,97630.0,20943.0,20390.0,56.0,19161.0,14.25,8.1,20.46,10.52,0.0448,0.2039
DTW,2022,6,11019,284,18,1994,11013,294,10,1767,81142.0,5597.0,19620.0,51.0,24422.0,11.4,4.68,15.31,8.53,0.0258,0.1857
DTW,2022,12,9846,421,18,1796,9856,434,3,1697,64137.0,13939.0,22402.0,272.0,28125.0,15.17,8.04,19.2,10.02,0.0428,0.1906
DTW,2023,1,9905,95,14,1958,9899,104,5,1948,67712.0,12981.0,31722.0,747.0,27835.0,12.59,6.65,20.51,9.7,0.0096,0.1996
DTW,2023,6,10524,169,28,2405,10522,177,13,2276,82604.0,7656.0,28005.0,97.0,46030.0,15.63,11.49,15.7,8.39,0.0161,0.2323
DTW,2023,7,10999,200,28,2783,10999,201,18,2584,92807.0,15243.0,37047.0,133.0,61578.0,18.44,12.87,16.2,9.24,0.0182,0.2577
DTW,2023,12,9982,16,16,1231,9988,16,14,1142,33254.0,8114.0,12756.0,133.0,16212.0,5.65,-2.73,16.52,9.26,0.0016,0.1235
DTW,2024,1,9473,324,23,2378,9470,311,35,2339,103697.0,57124.0,47055.0,137.0,39689.0,25.1,16.79,23.95,11.46,0.0342,0.2599
DTW,2024,6,11408,73,36,2566,11406,77,24,2581,107700.0,14793.0,37818.0,193.0,45988.0,15.75,11.71,16.95,8.9,0.0064,0.2264
DTW,2024,12,11098,54,27,2484,11099,58,8,2290,100725.0,14778.0,30710.0,294.0,30106.0,13.82,6.88,20.05,10.1,0.0049,0.2249
JFK,2016,1,8027,482,9,1631,8014,490,21,1610,38552.0,8814.0,25631.0,646.0,24456.0,12.81,17.81,24.22,8.88,0.06,0.2162
JFK,2017,1,7748,108,75,1618,7730,124,14,1665,36887.0,23231.0,39098.0,558.0,26019.0,13.67,9.37,25.41,9.55,0.0139,0.2118
JFK,2018,1,10049,722,27,2070,10055,737,56,1968,65031.0,22133.0,30921.0,223.0,41131.0,21.05,16.24,27.19,11.53,0.0718,0.2219
JFK,2019,1,10485,207,39,1957,10483,218,20,2154,53035.0,9839.0,41812.0,126.0,45276.0,11.95,6.31,26.3,9.55,0.0197,0.1904
JFK,2019,7,11062,358,33,2661,11059,351,47,2735,75809.0,18734.0,72139.0,162.0,79022.0,23.14,19.1,28.76,12.09,0.0324,0.2486
JFK,2020,1,10312,16,27,1233,10302,19,20,1403,34224.0,3331.0,19309.0,95.0,23869.0,5.39,-1.3,22.34,9.4,0.0016,0.1198
JFK,2020,4,2551,1181,0,89,2540,1175,0,56,5480.0,25.0,368.0,0.0,249.0,-1.03,-24.75,14.7,6.38,0.463,0.065
JFK,2021,1,3260,13,9,324,3262,45,3,422,14594.0,670.0,7350.0,172.0,2361.0,3.23,-3.22,17.22,7.3,0.004,0.0998
JFK,2022,1,11091,1110,22,2464,11088,1133,17,2277,99235.0,14203.0,28662.0,405.0,48782.0,24.91,14.44,24.42,13.64,0.1001,0.2469
JFK,2022,6,11476,717,40,3539,11471,741,29,3158,135274.0,7160.0,59976.0,197.0,81372.0,26.89,21.47,28.57,13.36,0.0625,0.3289
JFK,2022,12,10974,297,39,3216,10967,310,13,3268,115126.0,6619.0,41348.0,190.0,58625.0,22.51,19.18,24.63,13.26,0.0271,0.3012
JFK,2023,1,10918,81,27,2649,10912,88,26,2841,84052.0,6961.0,40370.0,224.0,52869.0,16.16,12.16,24.01,13.35,0.0074,0.2444
JFK,2023,6,11014,519,57,2764,11021,528,28,3144,96871.0,12587.0,62457.0,202.0,73668.0,22.95,22.15,29.76,13.2,0.0471,0.2634
JFK,2023,7,11188,908,32,3542,11187,929,87,3657,139107.0,17322.0,91272.0,283.0,114161.0,34.78,33.42,31.42,13.69,0.0812,0.3446
JFK,2023,12,10413,49,19,2018,10412,54,14,2040,55526.0,4361.0,23852.0,308.0,32283.0,10.9,4.58,23.52,11.47,0.0047,0.1947
JFK,2024,1,9471,278,16,1965,9467,288,30,2064,68408.0,8905.0,40956.0,231.0,41561.0,14.31,10.62,24.7,11.09,0.0294,0.2137
JFK,2024,6,10455,359,39,2467,10459,361,72,2681,86658.0,7875.0,51056.0,378.0,64234.0,18.77,16.97,28.66,11.83,0.0343,0.2444
JFK,2024,12,10268,51,27,2491,10271,52,10,2531,63995.0,4235.0,37287.0,511.0,65037.0,15.58,10.91,26.05,11.44,0.005,0.2438
ORD,2016,1,18610,359,54,4271,18605,391,14,3059,80409.0,23313.0,44420.0,268.0,71692.0,11.7,-0.32,18.27,12.05,0.0193,0.234
ORD,2017,1,18782,320,68,4195,18783,355,28,3773,106355.0,12100.0,88699.0,50.0,94935.0,13.74,5.93,19.47,11.85,0.017,0.2272
