airport,year,sample_months,dep_flights,dep_cancelled,dep_cancel_rate,dep_delay15_rate,weather_delay_min,nas_delay_min,carrier_delay_min,late_aircraft_delay_min,coverage_note
BOS,2016,1,9088,276,0.0304,0.1558,6564.0,23213.0,28882.0,22865.0,Aggregated from downloaded BTS monthly PREZIP samples only; not a complete calendar year unless months==12
BOS,2017,1,9456,176,0.0186,0.1753,4730.0,36548.0,32362.0,34551.0,Aggregated from downloaded BTS monthly PREZIP samples only; not a complete calendar year unless months==12
BOS,2018,1,11151,786,0.0705,0.2389,13734.0,41637.0,58055.0,63687.0,Aggregated from downloaded BTS monthly PREZIP samples only; not a complete calendar year unless months==12
BOS,2019,2,24361,1030,0.0423,0.2253,33310.0,109857.0,133039.0,176674.0,Aggregated from downloaded BTS monthly PREZIP samples only; not a complete calendar year unless months==12
BOS,2020,2,16413,1826,0.1113,0.1044,3075.0,29689.0,40425.0,20877.0,Aggregated from downloaded BTS monthly PREZIP samples only; not a complete calendar year unless months==12
BOS,2021,1,4095,46,0.0112,0.0822,636.0,9809.0,10508.0,4515.0,Aggregated from downloaded BTS monthly PREZIP samples only; not a complete calendar year unless months==12
BOS,2022,3,32565,1878,0.0577,0.2446,22970.0,125860.0,250091.0,168681.0,Aggregated from downloaded BTS monthly PREZIP samples only; not a complete calendar year unless months==12
BOS,2023,4,45445,1183,0.026,0.2517,41998.0,230333.0,319667.0,316757.0,Aggregated from downloaded BTS monthly PREZIP samples only; not a complete calendar year unless months==12
BOS,2024,3,34480,687,0.0199,0.2336,38779.0,155151.0,210697.0,226666.0,Aggregated from downloaded BTS monthly PREZIP samples only; not a complete calendar year unless months==12
DCA,2016,1,6447,609,0.0945,0.1518,1130.0,11756.0,16194.0,21235.0,Aggregated from downloaded BTS monthly PREZIP samples only; not a complete calendar year unless months==12
DCA,2017,1,6086,87,0.0143,0.163,2643.0,18481.0,17353.0,31363.0,Aggregated from downloaded BTS monthly PREZIP samples only; not a complete calendar year unless months==12
DCA,2018,1,10742,438,0.0408,0.1994,4390.0,22358.0,34400.0,78883.0,Aggregated from downloaded BTS monthly PREZIP samples only; not a complete calendar year unless months==12
DCA,2019,2,23522,1115,0.0474,0.2027,34953.0,109052.0,94410.0,170031.0,Aggregated from downloaded BTS monthly PREZIP samples only; not a complete calendar year unless months==12
DCA,2020,2,16836,2471,0.1468,0.1154,1426.0,22851.0,35086.0,61616.0,Aggregated from downloaded BTS monthly PREZIP samples only; not a complete calendar year unless months==12
DCA,2021,1,2720,31,0.0114,0.0666,225.0,5791.0,5567.0,3434.0,Aggregated from downloaded BTS monthly PREZIP samples only; not a complete calendar year unless months==12
DCA,2022,3,35269,2521,0.0715,0.2267,29212.0,101240.0,182580.0,233568.0,Aggregated from downloaded BTS monthly PREZIP samples only; not a complete calendar year unless months==12
DCA,2023,4,45807,1083,0.0236,0.2057,39395.0,152291.0,226662.0,340396.0,Aggregated from downloaded BTS monthly PREZIP samples only; not a complete calendar year unless months==12
DCA,2024,3,34289,923,0.0269,0.2279,49620.0,110722.0,149292.0,291236.0,Aggregated from downloaded BTS monthly PREZIP samples only; not a complete calendar year unless months==12
DTW,2016,1,9489,175,0.0184,0.1661,9255.0,27230.0,40419.0,35663.0,Aggregated from downloaded BTS monthly PREZIP samples only; not a complete calendar year unless months==12
DTW,2017,1,9683,171,0.0177,0.1943,6406.0,39546.0,61376.0,38219.0,Aggregated from downloaded BTS monthly PREZIP samples only; not a complete calendar year unless months==12
DTW,2018,1,12402,205,0.0165,0.1971,18140.0,42822.0,75986.0,59251.0,Aggregated from downloaded BTS monthly PREZIP samples only; not a complete calendar year unless months==12
DTW,2019,2,26717,620,0.0232,0.1978,76977.0,107245.0,152484.0,127883.0,Aggregated from downloaded BTS monthly PREZIP samples only; not a complete calendar year unless months==12
DTW,2020,2,19725,1751,0.0888,0.102,16236.0,29714.0,59744.0,16171.0,Aggregated from downloaded BTS monthly PREZIP samples only; not a complete calendar year unless months==12
DTW,2021,1,8967,36,0.004,0.0769,8792.0,14656.0,32549.0,5115.0,Aggregated from downloaded BTS monthly PREZIP samples only; not a complete calendar year unless months==12
DTW,2022,3,31551,1184,0.0375,0.1933,40479.0,62412.0,242909.0,71708.0,Aggregated from downloaded BTS monthly PREZIP samples only; not a complete calendar year unless months==12
DTW,2023,4,41410,480,0.0116,0.2047,43994.0,109530.0,276377.0,151655.0,Aggregated from downloaded BTS monthly PREZIP samples only; not a complete calendar year unless months==12
DTW,2024,3,31979,451,0.0141,0.2356,86695.0,115583.0,312122.0,115783.0,Aggregated from downloaded BTS monthly PREZIP samples only; not a complete calendar year unless months==12
JFK,2016,1,8027,482,0.06,0.2162,8814.0,25631.0,38552.0,24456.0,Aggregated from downloaded BTS monthly PREZIP samples only; not a complete calendar year unless months==12
JFK,2017,1,7748,108,0.0139,0.2118,23231.0,39098.0,36887.0,26019.0,Aggregated from downloaded BTS monthly PREZIP samples only; not a complete calendar year unless months==12
JFK,2018,1,10049,722,0.0718,0.2219,22133.0,30921.0,65031.0,41131.0,Aggregated from downloaded BTS monthly PREZIP samples only; not a complete calendar year unless months==12
JFK,2019,2,21547,565,0.0262,0.2201,28573.0,113951.0,128844.0,124298.0,Aggregated from downloaded BTS monthly PREZIP samples only; not a complete calendar year unless months==12
JFK,2020,2,12863,1197,0.0931,0.1133,3356.0,19677.0,39704.0,24118.0,Aggregated from downloaded BTS monthly PREZIP samples only; not a complete calendar year unless months==12
JFK,2021,1,3260,13,0.004,0.0998,670.0,7350.0,14594.0,2361.0,Aggregated from downloaded BTS monthly PREZIP samples only; not a complete calendar year unless months==12
JFK,2022,3,33541,2124,0.0633,0.2934,27982.0,129986.0,349635.0,188779.0,Aggregated from downloaded BTS monthly PREZIP samples only; not a complete calendar year unless months==12
