airport,date,year,month,dep_flights,dep_cancelled,dep_diverted,dep_delayed15,dep_cancel_rate,dep_delay15_rate,avg_dep_delay,arr_flights,arr_cancelled,arr_diverted,arr_delayed15,arr_cancel_rate,arr_delay15_rate,avg_arr_delay,avg_taxi_out,avg_taxi_in,carrier_delay_min,weather_delay_min,nas_delay_min,security_delay_min,late_aircraft_delay_min,disruption_score
JFK,2022-01-29,2022,1,355,334,0,21,0.9408,1.0,179.14,353,315,1,34,0.8924,0.8947,130.84,38.67,42.5,202.0,2528.0,138.0,0.0,712.0,2.8816
DCA,2022-01-03,2022,1,387,366,0,11,0.9457,0.5238,120.76,388,341,21,13,0.8789,0.2766,46.38,44.43,12.59,123.0,1414.0,424.0,0.0,920.0,2.4152
BOS,2019-01-20,2019,1,290,226,0,48,0.7793,0.75,104.7,299,184,6,72,0.6154,0.6261,68.44,61.36,27.96,1297.0,4009.0,2203.0,0.0,1305.0,2.3086
JFK,2018-01-04,2018,1,319,299,1,4,0.9373,0.2,93.1,323,280,25,15,0.8669,0.3488,150.72,60.95,46.95,8.0,117.0,424.0,0.0,10.0,2.0746
JFK,2016-01-24,2016,1,274,185,0,62,0.6752,0.6966,55.69,269,141,0,56,0.5242,0.4375,33.88,24.17,13.79,610.0,2439.0,160.0,0.0,825.0,2.047
BOS,2022-01-29,2022,1,246,246,0,0,1.0,,,246,246,0,0,1.0,,,,,0.0,0.0,0.0,0.0,0.0,2.0
DCA,2016-01-23,2016,1,155,155,0,0,1.0,,,152,152,0,0,1.0,,,,,0.0,0.0,0.0,0.0,0.0,2.0
DCA,2016-01-24,2016,1,205,205,0,0,1.0,,,209,207,2,0,0.9904,0.0,,,,0.0,0.0,0.0,0.0,0.0,2.0
JFK,2016-01-23,2016,1,225,225,0,0,1.0,,,225,222,0,2,0.9867,0.6667,392.0,,24.33,0.0,0.0,0.0,0.0,0.0,2.0
ORD,2019-01-30,2019,1,848,561,18,186,0.6616,0.6481,66.86,844,545,0,128,0.6457,0.4281,31.7,19.16,19.01,867.0,9818.0,927.0,0.0,3957.0,1.9713
DTW,2022-12-23,2022,12,327,186,2,112,0.5688,0.7943,106.12,327,168,0,113,0.5138,0.7107,92.97,39.26,24.96,6366.0,3879.0,2087.0,0.0,4029.0,1.9319
BOS,2018-01-04,2018,1,355,328,1,2,0.9239,0.0741,0.33,354,350,0,3,0.9887,0.75,535.5,17.89,7.0,77.0,0.0,24.0,0.0,0.0,1.9219
ORD,2019-01-19,2019,1,678,408,2,176,0.6018,0.6519,106.49,679,364,13,253,0.5361,0.8032,224.28,31.54,13.42,4108.0,5744.0,4307.0,0.0,14823.0,1.8555
ORD,2019-01-28,2019,1,891,463,2,335,0.5196,0.7827,113.09,889,443,25,388,0.4983,0.87,199.7,43.66,19.45,7362.0,11412.0,10014.0,0.0,26286.0,1.8219
JFK,2022-01-30,2022,1,374,207,0,107,0.5535,0.6407,101.29,375,141,3,113,0.376,0.4829,57.42,25.07,24.53,7559.0,1937.0,428.0,46.0,5145.0,1.7477
ORD,2024-01-12,2024,1,687,334,5,269,0.4862,0.762,99.68,687,326,10,261,0.4745,0.723,98.97,38.35,17.64,7017.0,7926.0,7416.0,0.0,17583.0,1.7344
BOS,2022-01-30,2022,1,339,219,0,53,0.646,0.4417,49.67,340,122,0,98,0.3588,0.4495,65.56,22.02,9.47,2845.0,67.0,312.0,0.0,2282.0,1.7337
DCA,2019-01-13,2019,1,386,209,1,115,0.5415,0.6497,107.81,383,163,23,109,0.4256,0.4955,77.1,59.3,30.56,3002.0,9924.0,5355.0,0.0,6100.0,1.7327
ORD,2019-01-31,2019,1,890,553,1,162,0.6213,0.4807,43.01,889,528,0,128,0.5939,0.3546,22.51,28.27,17.64,2871.0,4850.0,2766.0,0.0,4685.0,1.7233
BOS,2022-01-07,2022,1,345,159,2,141,0.4609,0.7581,82.07,342,135,0,150,0.3947,0.7246,69.39,47.14,8.63,4145.0,4701.0,4246.0,0.0,5590.0,1.6799
BOS,2018-01-05,2018,1,357,163,0,145,0.4566,0.7474,92.06,357,71,0,195,0.1989,0.6818,70.65,24.27,10.35,5981.0,557.0,1220.0,0.0,8989.0,1.6606
JFK,2018-01-05,2018,1,322,111,3,197,0.3447,0.9336,153.42,321,100,1,193,0.3115,0.8733,142.19,65.16,39.16,10719.0,7874.0,10565.0,41.0,8235.0,1.623
BOS,2019-01-21,2019,1,389,166,3,167,0.4267,0.7489,154.28,391,141,6,225,0.3606,0.9,255.43,39.78,15.87,6922.0,5167.0,6097.0,15.0,17781.0,1.6023
JFK,2020-04-01,2020,4,264,193,0,8,0.7311,0.1127,6.2,271,193,0,5,0.7122,0.0641,-23.35,14.92,6.19,453.0,0.0,0.0,0.0,47.0,1.5749
ORD,2022-12-23,2022,12,707,255,5,381,0.3607,0.8429,114.96,707,202,1,336,0.2857,0.6653,76.12,27.46,20.05,9644.0,22383.0,3786.0,12.0,16848.0,1.5643
JFK,2020-04-02,2020,4,210,151,0,7,0.719,0.1186,0.51,207,147,0,4,0.7101,0.0667,-18.58,16.24,5.92,167.0,0.0,0.0,0.0,55.0,1.5566
ORD,2019-07-18,2019,7,1030,358,2,567,0.3476,0.8438,135.68,1033,341,27,556,0.3301,0.8035,177.14,23.63,25.64,14311.0,17292.0,9257.0,0.0,47957.0,1.539
ORD,2020-01-11,2020,1,649,372,2,106,0.5732,0.3827,36.76,655,390,8,156,0.5954,0.5887,128.59,31.21,10.92,2986.0,2249.0,3234.0,0.0,4149.0,1.5291
JFK,2020-04-03,2020,4,210,146,0,5,0.6952,0.0781,-2.91,213,148,0,3,0.6948,0.0462,-19.55,14.05,6.63,70.0,0.0,0.0,0.0,0.0,1.4685
DCA,2024-01-16,2024,1,403,164,1,155,0.4069,0.6485,73.06,401,180,0,139,0.4489,0.629,86.68,34.63,11.01,4300.0,3932.0,4737.0,0.0,8031.0,1.4623
BOS,2019-01-22,2019,1,393,123,0,224,0.313,0.8296,127.69,393,112,3,225,0.285,0.8007,117.65,29.89,11.68,10202.0,2618.0,2933.0,85.0,18574.0,1.4556
DCA,2024-01-19,2024,1,408,113,1,261,0.277,0.8847,110.59,408,114,8,212,0.2794,0.7211,90.79,48.4,12.66,3582.0,12339.0,7626.0,11.0,16032.0,1.4387
JFK,2023-07-16,2023,7,361,154,3,119,0.4266,0.5749,77.32,361,154,0,123,0.4266,0.5942,84.58,50.6,16.73,5588.0,67.0,9787.0,0.0,4844.0,1.4281
ORD,2022-01-01,2022,1,609,302,3,123,0.4959,0.4007,35.28,611,332,4,97,0.5434,0.3477,32.1,33.22,12.81,6681.0,2024.0,3484.0,8.0,2240.0,1.3925
JFK,2020-04-06,2020,4,155,93,0,11,0.6,0.1774,5.35,152,101,0,8,0.6645,0.1569,-9.69,14.47,6.0,221.0,0.0,35.0,0.0,134.0,1.3774
DTW,2022-12-24,2022,12,252,77,0,134,0.3056,0.7657,82.16,261,82,1,118,0.3142,0.6592,68.66,38.81,15.77,8790.0,2193.0,2419.0,0.0,2625.0,1.3769
JFK,2022-06-16,2022,6,387,113,1,215,0.292,0.7847,123.12,388,93,0,245,0.2397,0.8305,161.84,47.21,23.59,11476.0,866.0,9670.0,11.0,16493.0,1.3687
DCA,2022-01-16,2022,1,383,189,3,69,0.4935,0.3557,50.47,384,196,9,74,0.5104,0.3936,35.65,32.0,13.2,1756.0,4569.0,2686.0,0.0,3189.0,1.3427
PIT,2020-04-06,2020,4,109,58,0,14,0.5321,0.2745,19.14,109,54,0,11,0.4954,0.2,3.33,10.98,5.2,551.0,0.0,38.0,0.0,376.0,1.3387
BOS,2020-04-02,2020,4,303,192,0,7,0.6337,0.0631,-3.41,308,191,0,4,0.6201,0.0342,-14.34,14.21,5.65,210.0,0.0,0.0,0.0,0.0,1.3305
BOS,2020-04-03,2020,4,304,190,0,7,0.625,0.0614,-3.46,307,191,0,9,0.6221,0.0776,-10.17,12.69,6.49,97.0,0.0,0.0,0.0,61.0,1.3114
DCA,2024-01-15,2024,1,408,138,1,171,0.3382,0.6333,92.24,408,114,28,191,0.2794,0.6497,102.5,64.89,38.84,2212.0,12882.0,12726.0,0.0,9158.0,1.3097
ORD,2024-01-15,2024,1,666,154,4,428,0.2312,0.8359,101.1,669,164,1,301,0.2451,0.596,76.46,20.18,18.42,16644.0,13777.0,2868.0,103.0,16141.0,1.2983
DCA,2022-01-04,2022,1,380,97,0,218,0.2553,0.7703,68.93,384,85,7,214,0.2214,0.7157,66.15,29.19,30.79,6518.0,2677.0,1801.0,40.0,8179.0,1.2809
PIT,2022-12-24,2022,12,90,21,0,56,0.2333,0.8116,88.59,91,22,0,44,0.2418,0.6377,88.74,29.8,9.54,1987.0,1120.0,862.0,0.0,2620.0,1.2782
ORD,2021-01-31,2021,1,424,117,0,222,0.2759,0.7231,72.69,424,102,0,249,0.2406,0.7733,119.03,37.8,17.88,3628.0,4547.0,3580.0,0.0,12618.0,1.2749
BOS,2020-04-01,2020,4,326,188,0,15,0.5767,0.1087,6.4,329,198,0,5,0.6018,0.0382,-14.94,12.15,6.89,1073.0,44.0,2.0,0.0,118.0,1.2621
ORD,2022-01-02,2022,1,746,261,0,258,0.3499,0.532,35.16,744,221,0,252,0.297,0.4818,33.96,26.81,15.61,6792.0,2053.0,3062.0,0.0,5701.0,1.2318
BOS,2020-04-06,2020,4,238,126,0,19,0.5294,0.1696,8.0,236,134,0,11,0.5678,0.1078,-16.41,13.38,6.12,928.0,0.0,1.0,0.0,191.0,1.2284
DCA,2016-01-25,2016,1,228,97,0,49,0.4254,0.374,16.48,227,53,1,39,0.2335,0.2241,5.46,15.9,6.44,527.0,19.0,38.0,42.0,753.0,1.2248
