airport,year,ops_origin,months_origin,dep_ontime_pct,dep_delayed_pct,dep_cancelled_pct,dep_diverted_pct,avg_dep_delay_min_delayed_only,avg_dep_delay_minutes_all_operated,origin_cause_total_min,origin_cause_carrier_share_pct,origin_cause_weather_share_pct,origin_cause_nas_share_pct,origin_cause_security_share_pct,origin_cause_late_aircraft_share_pct,ops_dest,months_dest,arr_ontime_pct,arr_delayed_pct,arr_cancelled_pct,arr_diverted_pct,avg_arr_delay_min_delayed_only,avg_arr_delay_minutes_all_operated,dest_cause_total_min,dest_cause_carrier_share_pct,dest_cause_weather_share_pct,dest_cause_nas_share_pct,dest_cause_security_share_pct,dest_cause_late_aircraft_share_pct
PIT,2016,25299,12,86.82,12.14,1.04,0.22,63.77,8.69,173978.0,37.38,3.49,15.15,0.06,43.92,25301,12,82.46,16.48,0.96,0.1,57.53,10.62,239900.0,38.6,4.83,11.81,0.25,44.52
PIT,2017,28411,12,85.35,13.4,1.24,0.19,65.13,9.71,222788.0,30.92,2.8,17.96,0.0,48.32,28413,12,81.15,17.63,1.13,0.09,59.38,11.61,297447.0,39.11,4.27,12.58,0.19,43.85
PIT,2018,49113,12,82.98,15.05,1.95,0.23,70.82,11.69,495521.0,26.71,5.03,26.41,0.12,41.73,49115,12,79.63,18.41,1.9,0.04,60.98,12.46,551441.0,33.25,5.56,15.34,0.2,45.65
PIT,2019,50401,12,83.13,15.06,1.81,0.2,76.91,12.51,545140.0,24.55,2.91,27.64,0.1,44.8,50399,12,79.96,18.12,1.79,0.13,65.77,13.06,600660.0,32.25,6.19,15.08,0.21,46.27
PIT,2020,29048,12,86.94,6.74,6.32,0.12,71.63,5.54,126650.0,38.99,5.52,19.6,0.04,35.85,29038,12,84.89,8.8,6.26,0.06,56.61,5.97,144589.0,38.91,4.96,18.24,0.39,37.49
PIT,2021,32620,12,85.74,12.87,1.39,0.24,72.99,10.26,272822.0,39.03,7.8,13.43,0.27,39.48,32628,12,80.17,18.33,1.39,0.11,62.61,12.66,374394.0,40.38,6.94,13.24,0.3,39.14
PIT,2022,40471,12,80.98,15.72,3.3,0.21,72.16,12.54,433805.0,34.83,6.86,19.68,0.11,38.52,40480,12,75.02,21.51,3.38,0.09,64.56,15.41,562044.0,39.14,5.34,12.8,0.24,42.47
PIT,2023,42130,12,84.19,14.47,1.34,0.17,73.24,11.52,412631.0,34.02,4.88,18.95,0.32,41.84,42132,12,79.09,19.37,1.4,0.14,63.67,13.48,519648.0,35.04,5.27,14.74,0.16,44.79
PIT,2024,43831,12,82.43,16.14,1.42,0.16,75.24,13.15,498390.0,30.13,3.82,22.54,0.13,43.38,43831,12,77.84,20.56,1.51,0.1,67.71,15.11,610147.0,33.8,5.1,14.83,0.25,46.02
PIT,2025,43176,12,81.71,16.83,1.46,0.19,75.54,13.75,527627.0,28.98,5.69,25.64,0.13,39.56,43169,12,76.11,22.26,1.55,0.08,68.41,16.48,657373.0,31.11,5.4,15.62,0.07,47.79
BOS,2016,121260,12,81.19,17.57,1.24,0.3,62.32,12.16,1170955.0,33.37,4.13,23.94,0.23,38.33,121253,12,78.02,20.62,1.26,0.1,60.09,13.61,1502591.0,27.45,4.19,27.77,0.16,40.43
BOS,2017,125456,12,77.4,20.47,2.12,0.32,70.84,15.78,1652080.0,29.53,3.67,22.97,0.19,43.64,125452,12,74.63,23.12,2.14,0.1,69.32,17.29,2010881.0,22.56,3.86,35.37,0.07,38.14
BOS,2018,148191,12,76.39,21.0,2.59,0.26,68.23,15.68,1928119.0,32.88,3.61,21.88,0.11,41.52,148180,12,74.03,23.27,2.6,0.1,68.31,17.31,2355148.0,24.01,3.95,32.47,0.11,39.46
BOS,2019,150564,12,77.08,20.87,2.06,0.3,77.62,17.4,2260934.0,32.18,4.64,21.16,0.07,41.94,150554,12,74.35,23.51,1.99,0.15,78.6,19.7,2782509.0,24.5,3.85,33.34,0.06,38.25
BOS,2020,74276,12,85.62,8.07,6.31,0.17,63.43,5.95,333638.0,45.76,6.31,21.32,0.1,26.52,74298,12,84.77,8.78,6.36,0.08,61.14,6.31,398853.0,39.37,4.7,20.39,0.27,35.26
BOS,2021,90118,12,85.13,13.55,1.32,0.3,67.74,10.1,692487.0,50.42,3.68,15.22,0.17,30.51,90101,12,82.39,16.1,1.38,0.14,68.95,12.14,1000052.0,44.87,4.98,13.8,0.35,35.99
BOS,2022,136476,12,75.65,21.06,3.3,0.26,72.57,16.78,1902778.0,45.13,3.88,16.99,0.13,33.87,136479,12,73.77,22.76,3.34,0.13,73.34,18.23,2278292.0,38.84,3.45,18.85,0.11,38.75
BOS,2023,140517,12,76.21,21.99,1.8,0.3,76.07,18.0,2118386.0,42.49,3.96,16.5,0.19,36.86,140523,12,74.52,23.38,1.84,0.26,78.4,19.67,2576093.0,34.34,3.62,21.66,0.18,40.21
BOS,2024,143490,12,78.71,19.84,1.45,0.25,73.68,15.72,1885246.0,39.06,3.64,17.94,0.17,39.19,143491,12,75.97,22.41,1.43,0.19,75.54,18.09,2429627.0,32.08,3.75,26.47,0.1,37.59
BOS,2025,142859,12,75.99,22.34,1.68,0.26,75.59,18.06,2216468.0,31.02,2.91,20.95,0.09,45.03,142850,12,72.57,25.63,1.66,0.14,75.49,20.57,2763976.0,25.49,3.54,35.29,0.09,35.59
JFK,2016,97751,12,77.7,21.06,1.24,0.32,68.68,15.72,1268136.0,40.05,8.57,17.7,0.58,33.09,97726,12,76.78,21.62,1.32,0.28,71.46,16.68,1509759.0,26.82,2.91,33.07,0.2,36.99
JFK,2017,94454,12,75.64,22.16,2.2,0.34,75.52,18.02,1443251.0,36.35,5.76,21.35,0.32,36.22,94419,12,72.8,24.62,2.32,0.27,83.75,21.98,1946640.0,20.71,2.54,45.48,0.16,31.11
JFK,2018,129652,12,78.72,18.58,2.65,0.27,73.65,14.91,1595729.0,37.16,7.5,20.58,0.19,34.58,129653,12,75.74,21.17,2.73,0.34,77.74,17.88,2134054.0,23.39,4.55,37.66,0.13,34.27
JFK,2019,127145,12,79.79,18.61,1.6,0.28,79.67,15.9,1722115.0,37.41,6.1,23.09,0.17,33.23,127130,12,78.26,19.8,1.63,0.3,83.19,17.62,2094560.0,27.83,3.41,32.33,0.16,36.27
JFK,2020,57094,12,85.44,8.37,6.18,0.17,64.64,6.32,263895.0,56.25,6.31,14.52,0.46,22.46,57030,12,84.37,9.24,6.25,0.14,68.22,7.37,359515.0,44.32,2.72,20.52,0.23,32.2
JFK,2021,82657,12,80.66,18.05,1.29,0.26,73.42,14.36,903058.0,57.86,5.85,13.71,0.55,22.03,82662,12,79.91,18.36,1.36,0.37,78.75,15.63,1195331.0,43.12,4.9,17.87,0.52,33.59
JFK,2022,136581,12,71.63,24.8,3.57,0.24,74.45,20.13,2282545.0,52.21,3.54,13.6,0.18,30.47,136554,12,71.79,24.26,3.69,0.26,76.71,20.43,2541679.0,36.79,3.6,23.25,0.17,36.18
